"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @GetUSCovered: Did you miss your chance to #GetCovered with affordable health coverage at https://t.co/p8DQwo89C7? 

Well you’re in luck…",FALSE,0,NA,2019-12-17 15:26:41,FALSE,NA,"1206958904900493312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",966,TRUE,FALSE,NA,NA
"You can get the zen garden next week, but tomorrow is the last day to sign up for health coverage at… https://t.co/7aDwT0Kr6N",FALSE,63218,NA,2019-12-14 16:01:19,TRUE,NA,"1205880457545560066",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",11219,FALSE,FALSE,NA,NA
"It was remarkable to be back in the Asia-Pacific region with my sister this week, joined by hundreds of talented an… https://t.co/XWCz7q32yf",FALSE,45208,NA,2019-12-13 18:12:17,TRUE,NA,"1205551025966456832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",3941,FALSE,FALSE,NA,NA
"My sister Maya and I are about to take the stage at @ObamaFoundation Leaders: Asia-Pacific. We'll be talking about… https://t.co/iNIbFzF8Tr",FALSE,32252,NA,2019-12-13 03:29:19,TRUE,NA,"1205328819185307648",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",3396,FALSE,FALSE,NA,NA
"RT @MichelleObama: Julia Roberts, Deborah Henry, and I are about to take the stage at #ObamaLeaders: Asia-Pacific to reflect on our visit t…",FALSE,0,NA,2019-12-12 02:57:21,FALSE,NA,"1204958387168890880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",1596,TRUE,FALSE,NA,NA
"I thought it was about time I share my holiday gift list — a few practical items, all $10 or less. The best one? He… https://t.co/9div5vrK95",FALSE,115291,NA,2019-12-10 17:12:50,TRUE,NA,"1204448901291487233",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","BarackObama",21638,FALSE,FALSE,NA,NA
"In Vietnam I had the chance to sit down with some of our @ObamaFoundation leaders and alumni from across the Asia P… https://t.co/tV1ffldUIy",FALSE,63992,NA,2019-12-10 11:10:03,TRUE,NA,"1204357605394702336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",5107,FALSE,FALSE,NA,NA
"RT @MichelleObama: What an incredible day in Vietnam with members of the @GirlsAlliance community!

Take a look at our visit to C<U+1EA7>n Giu<U+1ED9>c h…",FALSE,0,NA,2019-12-09 20:40:35,FALSE,NA,"1204138794825474049",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",3939,TRUE,FALSE,NA,NA
"Because of Paul Volcker, our financial system is stronger and safer for the American people. I’ll remember Paul for… https://t.co/FLH7iNb1o1",FALSE,50282,NA,2019-12-09 18:21:38,TRUE,NA,"1204103826338394118",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",5117,FALSE,FALSE,NA,NA
"Today, we give thanks for our blessings, give back to those around us, and enjoy some time — and turkey, and maybe… https://t.co/Y1wrA5SHHH",FALSE,391709,NA,2019-11-28 12:13:46,TRUE,NA,"1200024984355250176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",41116,FALSE,FALSE,NA,NA
"Before arguing with friends or family around the Thanksgiving table, take a look at the science behind arguing bett… https://t.co/hYMSHMmxNq",FALSE,149325,NA,2019-11-27 18:19:13,TRUE,NA,"1199754566130114567",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",28443,FALSE,FALSE,NA,NA
"Politicians shouldn’t be picking their voters. Voters should be picking their representatives. But unless we act, t… https://t.co/Td81P2kRUb",FALSE,31603,"BarackObama",2019-11-24 18:07:38,TRUE,"1198663630117572609","1198664487089430529","813286","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",6968,FALSE,FALSE,NA,NA
"Take a look at this piece to understand the very real consequences of gerrymandering. In Asheville, NC, we see what… https://t.co/zt6gHRDNCS",FALSE,88099,NA,2019-11-24 18:04:14,TRUE,NA,"1198663630117572609",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",20930,FALSE,FALSE,NA,NA
"Young leaders like these are powering the promise of the Asia Pacific region. Michelle and I couldn’t be more impre… https://t.co/RHQjTYreVr",FALSE,44373,NA,2019-11-22 16:08:56,TRUE,NA,"1197909838061359104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",4311,FALSE,FALSE,NA,NA
"Proud to see Oluwaseun @AyodejiOsowobi in this list. She’s an @ObamaFoundation Leader who’s organizing young people… https://t.co/y8oGn0exHw",FALSE,48957,NA,2019-11-18 18:39:05,TRUE,NA,"1196498074660724736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",8423,FALSE,FALSE,NA,NA
